team,score,shots,yellow_cards,red_cards
Crystal Palace,2,6,1,0
Tottenham,1,5,3,0
Watford,1,0,1,0
Southampton,0,1,0,0
Everton,2,6,2,0
Stoke,3,4,2,0
Man City,1,7,1,0
Bournemouth,1,7,3,0
Burnley,3,7,1,0
West Ham,1,2,4,0
Chelsea,5,9,0,0
Leicester,1,2,0,0
Liverpool,6,17,1,0
Arsenal,1,2,1,0
Swansea,1,1,0,0
Hull,2,2,0,0
Watford,2,3,2,0
Man United,1,5,3,0
Southampton,0,0,1,0
Stoke,0,6,3,0
Sunderland,3,4,4,2
Crystal Palace,1,2,1,0
Tottenham,3,6,3,0
Everton,1,6,5,0
Middlesbrough,0,1,2,0
West Brom,4,6,0,0
Leicester,2,3,4,0
Liverpool,2,7,1,0
Burnley,1,5,2,0
Swansea,5,9,4,0
Chelsea,2,5,2,0
Hull,1,4,3,0
Man United,1,8,3,0
Arsenal,3,3,3,0
Southampton,1,7,0,0
Watford,0,2,5,1
Tottenham,5,15,0,0
Crystal Palace,3,4,3,0
West Brom,3,3,2,0
West Ham,1,3,3,0
Man City,1,5,2,2
Stoke,2,4,3,0
Sunderland,2,6,3,0
Everton,1,6,2,0
Bournemouth,4,8,2,0
Middlesbrough,1,4,1,0
Hull,3,6,2,0
Leicester,4,6,3,0
Arsenal,3,6,0,0
Burnley,3,7,2,0
Swansea,3,5,1,0
Watford,3,6,2,0
Liverpool,2,3,2,0
Chelsea,1,2,2,0
Man United,1,5,3,0
Southampton,1,3,4,0
Bournemouth,1,3,0,0
Everton,2,4,3,1
Sunderland,0,3,3,0
West Ham,1,7,0,0
West Brom,3,4,0,0
Middlesbrough,0,3,1,0
Man City,2,7,1,0
Stoke,0,3,1,1
Tottenham,3,9,0,0
Crystal Palace,1,3,2,0
Crystal Palace,0,2,3,0
West Brom,0,1,3,0
West Ham,1,6,2,0
Middlesbrough,3,4,1,0
Stoke,2,7,2,0
Sunderland,1,4,1,0
Man City,2,5,4,0
Bournemouth,1,5,0,0
Tottenham,2,9,1,0
Everton,0,1,3,0
Leicester,0,2,3,0
Man United,3,9,1,0
Arsenal,1,11,3,0
Burnley,1,4,6,0
Swansea,1,7,0,0
Chelsea,3,4,1,0
Watford,1,3,2,0
Hull,0,3,1,0
Liverpool,4,6,0,0
Southampton,1,2,1,1
Hull,2,4,2,0
Southampton,1,1,3,1
Burnley,4,6,1,0
Swansea,0,5,2,0
Chelsea,4,7,3,0
Leicester,1,4,5,0
Liverpool,1,1,2,0
Man United,2,12,1,0
Arsenal,2,7,1,0
Watford,1,2,3,0
West Brom,3,5,0,0
Everton,3,6,0,0
West Ham,0,2,2,1
Man City,2,3,5,1
Middlesbrough,0,1,3,0
Sunderland,2,5,2,0
Crystal Palace,1,3,2,0
Stoke,2,5,1,0
Bournemouth,3,6,3,1
Tottenham,2,2,3,0
Swansea,0,3,2,0
Burnley,1,3,1,0
Tottenham,4,11,0,0
Watford,0,5,3,0
Hull,3,3,0,0
West Ham,3,3,4,0
Leicester,0,2,1,0
Sunderland,1,3,3,0
Everton,4,4,2,0
Man United,1,3,1,0
West Brom,2,5,1,0
Crystal Palace,0,2,0,0
Liverpool,2,5,1,0
Man City,2,7,2,0
Middlesbrough,1,2,2,0
Bournemouth,2,5,1,0
Stoke,1,1,4,0
Chelsea,2,5,1,0
Arsenal,2,8,1,1
Southampton,3,7,0,0
Swansea,2,5,2,0
Arsenal,1,5,3,0
Bournemouth,0,2,0,0
Burnley,1,3,1,0
Middlesbrough,1,3,2,0
Sunderland,0,1,2,0
Liverpool,1,3,2,0
West Ham,0,1,3,0
Man United,0,6,1,0
Stoke,1,7,1,0
Crystal Palace,0,9,3,0
Watford,2,7,5,0
Everton,6,10,3,0
West Brom,1,4,2,0
Hull,2,4,2,0
Southampton,1,7,0,0
Chelsea,3,6,1,0
Tottenham,1,5,0,0
Leicester,0,1,2,0
Man City,2,5,2,0
Man United,2,11,1,0
Middlesbrough,0,3,2,0
Stoke,1,4,1,0
Arsenal,2,7,3,0
Sunderland,0,1,1,0
West Ham,2,4,3,0
Liverpool,2,9,3,0
Swansea,2,4,2,0
Burnley,1,4,3,0
Bournemouth,0,1,2,0
Chelsea,3,5,1,0
Crystal Palace,1,3,3,0
Watford,1,1,4,0
Everton,2,8,0,0
West Brom,2,4,2,0
Hull,1,1,1,0
Tottenham,4,9,2,0
Leicester,3,7,0,0
Stoke,2,8,1,0
Swansea,3,10,2,0
Leicester,3,5,1,0
Watford,3,4,3,0
Liverpool,3,7,1,0
West Brom,0,1,0,0
Man United,1,7,3,0
Sunderland,0,3,1,0
Tottenham,3,7,1,0
West Ham,1,2,0,0
Man City,0,1,1,0
Hull,2,7,3,0
Bournemouth,3,9,4,0
Everton,3,5,1,0
Liverpool,2,3,2,0
Everton,4,8,2,0
West Ham,2,7,0,0
Stoke,1,1,6,1
Sunderland,0,5,3,0
Bournemouth,2,6,0,0
Crystal Palace,1,0,0,0
West Brom,3,8,1,0
Man City,1,3,3,0
Middlesbrough,1,3,1,0
Tottenham,2,6,3,0
Liverpool,3,6,1,0
Man United,0,3,3,0
Southampton,0,4,1,0
Burnley,0,2,2,0
Chelsea,1,11,3,0
Watford,1,10,1,0
Hull,2,3,2,0
Leicester,2,10,1,0
Arsenal,2,3,3,0
Swansea,0,3,2,0
Burnley,1,3,3,0
Leicester,2,8,0,0
Watford,2,2,3,1
Man United,1,3,1,0
Hull,4,5,2,0
Swansea,1,1,1,0
Arsenal,3,8,2,0
Southampton,3,9,2,0
Chelsea,2,4,1,0
Liverpool,2,8,1,0
Middlesbrough,0,5,0,0
Stoke,1,4,0,0
Bournemouth,1,1,2,0
Tottenham,4,6,0,0
West Brom,0,6,2,0
West Ham,1,6,5,0
Man City,3,7,0,0
Sunderland,0,4,1,1
Everton,4,7,2,0
Crystal Palace,3,6,0,0
Crystal Palace,2,4,0,0
Tottenham,4,14,0,0
Everton,3,7,2,0
Watford,1,7,0,0
Southampton,0,1,3,0
Stoke,3,4,0,0
Sunderland,2,4,1,0
Man United,2,3,3,0
West Brom,0,2,3,0
Middlesbrough,1,5,2,0
Leicester,1,5,2,0
West Brom,1,3,2,0
Tottenham,1,4,0,0
Stoke,1,1,5,0
Swansea,1,9,2,0
Watford,1,1,2,1
Sunderland,1,3,2,0
Man United,3,7,1,0
Liverpool,4,7,3,0
West Ham,1,3,2,0
Southampton,0,1,0,0
Man City,4,6,4,0
Hull,2,4,0,0
Liverpool,0,5,1,0
Crystal Palace,0,2,3,0
Chelsea,2,4,3,0
Everton,2,7,0,0
Arsenal,0,4,2,0
Middlesbrough,2,3,1,0
Bournemouth,0,5,3,1
Liverpool,1,3,5,0
Sunderland,1,2,2,0
Burnley,0,0,2,0
Bournemouth,1,3,1,0
Arsenal,3,7,1,0
Stoke,0,1,1,0
Swansea,1,3,2,0
Man United,1,9,3,0
Middlesbrough,0,2,3,0
West Ham,1,2,3,0
Man City,2,6,2,0
Crystal Palace,2,4,2,0
Tottenham,4,8,2,0
West Brom,0,2,3,0
Hull,1,3,0,0
Southampton,1,5,5,0
Watford,4,8,2,0
Leicester,1,3,3,0
Chelsea,2,7,4,0
Everton,3,9,1,0
Liverpool,2,5,1,0
West Ham,2,5,1,0
Arsenal,4,9,2,0
Burnley,0,2,1,0
Bournemouth,0,2,1,0
Middlesbrough,1,0,1,0
Man United,1,2,4,0
Stoke,1,4,1,0
Swansea,0,3,1,0
Sunderland,0,2,7,1
Leicester,1,3,2,0
Tottenham,2,5,1,0
West Brom,1,3,4,0
Crystal Palace,3,4,2,0
Everton,0,2,2,0
Man City,3,4,4,0
Hull,1,1,2,1
Chelsea,0,2,2,0
Southampton,3,9,2,0
Watford,0,3,3,0
Crystal Palace,1,2,4,0
Bournemouth,2,2,4,0
Chelsea,2,9,2,0
Middlesbrough,1,3,3,0
West Brom,1,7,3,0
Liverpool,2,6,2,0
Man City,0,6,2,0
Southampton,0,5,0,0
Stoke,1,6,0,0
Arsenal,1,3,0,0
West Ham,1,4,5,1
Everton,1,2,2,0
Swansea,2,6,1,0
Hull,1,4,3,0
Sunderland,0,1,1,0
Leicester,0,0,1,0
Tottenham,1,8,2,0
Watford,1,2,1,0
Burnley,1,1,2,0
Man United,0,1,4,0
West Brom,1,1,3,0
Middlesbrough,0,4,0,0
Tottenham,0,4,4,0
Watford,0,2,1,0
Everton,1,8,3,0
Sunderland,0,2,5,0
Stoke,2,6,0,0
Crystal Palace,1,7,0,0
Southampton,1,2,3,0
Man United,0,5,2,0
Burnley,0,1,3,0
Man City,4,8,3,0
Bournemouth,0,3,1,0
Arsenal,4,7,3,0
Liverpool,4,10,2,0
Leicester,1,1,4,0
Hull,0,2,2,0
Chelsea,2,7,0,0
West Ham,0,3,3,0
Swansea,1,6,0,0
Middlesbrough,1,3,3,0
Sunderland,2,4,4,1
Crystal Palace,2,5,2,0
Stoke,1,4,1,0
Everton,0,0,3,0
West Brom,2,5,2,0
Watford,1,8,2,0
Tottenham,1,3,2,0
Man United,3,3,2,0
Southampton,1,7,5,0
Leicester,1,2,3,0
Arsenal,1,1,3,0
Liverpool,0,2,1,0
Bournemouth,1,2,3,0
Hull,0,7,0,0
Man City,2,4,2,0
West Ham,2,3,5,2
Swansea,1,3,2,0
Chelsea,1,3,3,0
Burnley,0,2,0,0
Middlesbrough,2,2,4,0
Sunderland,0,1,3,0
Man City,2,5,3,0
Crystal Palace,4,4,5,0
Tottenham,1,6,1,0
West Brom,1,2,2,0
West Ham,1,2,1,0
Bournemouth,1,3,5,0
Everton,0,1,1,0
Stoke,1,1,0,0
Swansea,0,0,4,0
Southampton,0,3,1,0
Watford,1,5,1,1
Arsenal,5,10,3,0
Chelsea,3,4,3,0
Burnley,0,4,2,0
Leicester,1,5,1,0
Man United,1,2,3,0
Liverpool,3,3,2,0
Hull,0,2,1,0
Crystal Palace,3,6,4,0
Man City,2,4,1,0
Stoke,1,5,0,0
Bournemouth,2,4,2,0
Sunderland,0,2,2,0
Everton,2,4,2,0
West Ham,2,3,0,0
West Brom,0,1,4,0
Tottenham,0,4,3,0
Middlesbrough,0,2,3,0
Leicester,0,4,3,0
Arsenal,1,3,1,0
Chelsea,1,6,2,0
Burnley,0,2,2,0
Swansea,1,4,0,0
Liverpool,3,4,0,0
Watford,0,2,2,0
Southampton,0,4,2,0
Hull,0,5,2,0
Man United,2,6,3,0
Chelsea,1,6,3,0
Man United,2,5,3,0
Hull,0,5,4,0
Swansea,0,2,0,0
Leicester,2,8,6,1
Watford,0,4,2,0
Arsenal,1,1,2,0
Southampton,3,8,3,0
Burnley,1,2,2,0
Liverpool,1,4,1,0
Everton,2,3,0,0
Sunderland,1,4,2,0
West Brom,0,1,1,0
Middlesbrough,0,2,5,0
West Ham,4,7,0,0
Bournemouth,0,3,1,0
Crystal Palace,1,4,4,0
Man City,3,6,0,0
Stoke,1,2,1,0
Tottenham,4,5,4,0
Everton,2,7,2,0
West Brom,2,3,3,0
Sunderland,1,3,1,0
Bournemouth,3,6,0,0
Stoke,2,2,2,0
West Ham,0,5,3,0
Man City,0,2,1,0
Middlesbrough,1,2,1,0
Crystal Palace,0,4,1,0
Tottenham,4,6,0,0
Hull,1,6,0,0
Southampton,0,3,1,0
Man United,2,6,2,0
Burnley,1,3,3,0
Leicester,0,4,0,0
Liverpool,2,15,3,0
Swansea,2,4,1,0
Watford,0,2,2,0
Arsenal,3,4,3,0
Chelsea,0,2,2,0
Arsenal,4,6,0,0
Southampton,0,5,2,0
West Brom,0,0,2,0
Middlesbrough,0,1,1,0
Bournemouth,1,6,1,0
Crystal Palace,0,1,2,0
Chelsea,3,3,0,0
Stoke,3,6,1,0
Man City,0,5,2,0
Liverpool,1,4,3,0
Sunderland,0,3,1,0
Everton,1,8,1,0
Swansea,3,3,1,0
Tottenham,2,2,4,0
West Ham,3,5,1,0
Watford,2,3,2,0
Man United,1,8,0,0
Hull,0,4,3,0
Burnley,1,7,3,0
Leicester,0,2,1,0
Southampton,1,2,0,0
Watford,2,6,3,0
Crystal Palace,2,4,4,0
Leicester,0,5,0,0
West Brom,1,5,1,0
Tottenham,0,3,0,0
Chelsea,1,2,1,0
Man City,4,4,3,0
Hull,0,2,4,0
Everton,1,5,0,0
Sunderland,4,7,3,0
Burnley,1,7,0,1
Bournemouth,3,8,1,0
Stoke,0,2,2,0
Liverpool,0,5,1,0
West Ham,3,4,2,0
Arsenal,1,5,1,0
Middlesbrough,0,0,1,0
Man United,3,9,4,0
Swansea,1,2,3,0
Watford,0,3,0,0
Everton,0,3,0,0
Crystal Palace,0,1,3,0
Hull,0,4,1,1
Southampton,4,8,0,0
West Brom,2,3,2,0
Tottenham,0,2,5,0
Leicester,0,1,2,0
Chelsea,1,2,2,0
Man City,2,5,3,0
Swansea,1,2,3,0
Middlesbrough,0,4,1,0
West Ham,1,2,3,1
Sunderland,0,1,2,0
Bournemouth,1,4,0,0
Burnley,1,3,3,1
Stoke,0,3,3,0
Liverpool,1,7,0,0
Middlesbrough,0,2,2,0
Burnley,2,4,2,0
Hull,1,4,1,0
Southampton,4,11,2,0
Arsenal,1,3,2,0
Crystal Palace,2,4,1,0
Bournemouth,1,1,5,2
Man City,2,7,0,0
Everton,2,4,2,0
Chelsea,2,4,1,0
Stoke,0,2,3,0
Swansea,1,3,1,0
West Ham,2,7,2,0
West Brom,0,2,2,0
Burnley,1,1,2,0
Hull,0,0,0,1
Leicester,3,5,1,0
Chelsea,2,7,2,0
Burnley,0,3,1,0
Swansea,0,1,2,0
Watford,0,2,2,0
Arsenal,1,2,0,0
Liverpool,1,4,3,0
Man United,3,6,1,0
Southampton,1,3,3,0
Everton,1,4,3,0
West Brom,0,1,3,0
Bournemouth,0,3,0,0
Tottenham,2,7,0,0
Crystal Palace,2,3,2,0
Sunderland,0,3,3,0
West Ham,1,4,2,0
Stoke,0,2,4,0
Man City,2,5,2,0
Middlesbrough,0,1,3,0
Stoke,0,2,2,0
Sunderland,0,3,1,0
West Brom,0,2,4,0
Everton,1,4,4,1
Middlesbrough,2,4,1,0
Tottenham,3,8,1,0
West Ham,0,2,2,0
Crystal Palace,1,3,1,0
Man City,1,7,3,0
Bournemouth,2,2,1,0
Burnley,0,2,3,0
Liverpool,2,4,2,0
Chelsea,3,5,3,0
Watford,0,2,1,0
Southampton,1,3,2,0
Swansea,0,1,1,0
Hull,1,1,2,0
Man United,3,9,5,0
Leicester,2,4,2,0
Arsenal,0,3,1,0
Leicester,2,2,2,0
Bournemouth,0,1,1,0
Burnley,1,6,0,0
Swansea,0,4,0,0
Man City,3,5,0,0
Hull,1,3,2,0
West Ham,2,3,2,1
Chelsea,0,0,3,0
Liverpool,1,2,1,0
Arsenal,2,4,2,0
